module,shape,different,max_abs,required_atol,relative_rms,exact
model.layers.4.self_attn.q_proj,"[1, 64, 896]",14,0.0078125,0.0,0.00011900048646852031,False
model.layers.4.self_attn.k_proj,"[1, 64, 128]",4,6.103515625e-05,0.0,2.0013293386142744e-06,False
model.layers.4.self_attn.v_proj,"[1, 64, 128]",3,0.000244140625,0.0,4.973656073612812e-05,False
model.layers.4.self_attn.o_proj,"[1, 64, 896]",9,0.00048828125,0.0,0.00022743297254987095,False
model.layers.4.mlp.gate_proj,"[1, 64, 4864]",32,0.0078125,0.0,0.00013744029277550627,False
model.layers.4.mlp.up_proj,"[1, 64, 4864]",52,0.00390625,4.190951585769653e-08,0.0001256970950625982,False
model.layers.4.mlp.down_proj,"[1, 64, 896]",31,0.001953125,0.0,0.00042444663348047135,False
model.layers.5.self_attn.q_proj,"[1, 64, 896]",5,0.00390625,0.0,6.464225527106124e-05,False
model.layers.5.self_attn.k_proj,"[1, 64, 128]",3,0.000244140625,0.0,1.3956366184677453e-05,False
model.layers.5.self_attn.v_proj,"[1, 64, 128]",3,0.000244140625,0.0,0.00017890512704711587,False
model.layers.5.self_attn.o_proj,"[1, 64, 896]",11,0.000244140625,0.0,9.730773740037691e-05,False
model.layers.5.mlp.gate_proj,"[1, 64, 4864]",27,0.015625,6.007030606269836e-08,0.0001450764533074209,False
model.layers.5.mlp.up_proj,"[1, 64, 4864]",54,0.00390625,0.0,0.00010503954235311857,False
model.layers.5.mlp.down_proj,"[1, 64, 896]",22,0.0009765625,0.0,0.00019681292497032037,False
model.layers.6.self_attn.q_proj,"[1, 64, 896]",6,0.0009765625,0.0,1.609307372729797e-05,False
model.layers.6.self_attn.k_proj,"[1, 64, 128]",5,0.0009765625,0.0,5.463398334377507e-05,False
model.layers.6.self_attn.v_proj,"[1, 64, 128]",2,4.76837158203125e-07,0.0,8.797439450586289e-08,False
model.layers.6.self_attn.o_proj,"[1, 64, 896]",15,0.0001220703125,0.0,4.066322724961943e-05,False
model.layers.6.mlp.gate_proj,"[1, 64, 4864]",39,0.0078125,0.0,0.00012202694122619323,False
model.layers.6.mlp.up_proj,"[1, 64, 4864]",45,0.001953125,1.862645149230957e-08,5.804465476633209e-05,False
model.layers.6.mlp.down_proj,"[1, 64, 896]",19,0.0009765625,1.0081566870212555e-07,0.0001853966140531341,False
model.layers.7.self_attn.q_proj,"[1, 64, 896]",12,0.001953125,0.0,2.472919760918331e-05,False
model.layers.7.self_attn.k_proj,"[1, 64, 128]",2,0.000244140625,0.0,1.0004989600050603e-05,False
model.layers.7.self_attn.v_proj,"[1, 64, 128]",3,0.001953125,0.0,0.0003535095508560296,False
model.layers.7.self_attn.o_proj,"[1, 64, 896]",18,0.000244140625,0.0,0.0001497078282746205,False
model.layers.7.mlp.gate_proj,"[1, 64, 4864]",37,0.0078125,0.0,0.00012698271170999168,False
model.layers.7.mlp.up_proj,"[1, 64, 4864]",58,0.00390625,4.516914486885071e-08,0.00012563358636550072,False
model.layers.7.mlp.down_proj,"[1, 64, 896]",27,0.0009765625,0.0,0.00019902385205386588,False
model.layers.8.self_attn.q_proj,"[1, 64, 896]",5,0.00048828125,0.0,5.737100506423322e-06,False
model.layers.8.self_attn.k_proj,"[1, 64, 128]",1,3.0517578125e-05,0.0,1.0678855318785946e-07,False
model.layers.8.self_attn.v_proj,"[1, 64, 128]",2,0.00048828125,0.0,7.614509939199458e-05,False
model.layers.8.self_attn.o_proj,"[1, 64, 896]",14,0.000244140625,0.0,0.0001157974405757851,False
model.layers.8.mlp.gate_proj,"[1, 64, 4864]",40,0.015625,0.0,0.00027270539105155267,False
model.layers.8.mlp.up_proj,"[1, 64, 4864]",61,0.00390625,0.0,0.00014840715566212084,False
model.layers.8.mlp.down_proj,"[1, 64, 896]",21,0.0009765625,4.6566128730773926e-09,0.00023645445485017788,False
model.layers.9.self_attn.q_proj,"[1, 64, 896]",10,0.00390625,0.0,4.4962187389453754e-05,False
model.layers.9.self_attn.k_proj,"[1, 64, 128]",4,0.00390625,0.0,0.0001479414695601123,False
model.layers.9.self_attn.v_proj,"[1, 64, 128]",2,0.000244140625,0.0,3.21926745417365e-05,False
model.layers.9.self_attn.o_proj,"[1, 64, 896]",14,0.00048828125,0.0,0.00016051360566099937,False
model.layers.9.mlp.gate_proj,"[1, 64, 4864]",32,0.00390625,0.0,7.637158700343351e-05,False
model.layers.9.mlp.up_proj,"[1, 64, 4864]",49,0.00390625,0.0,0.00013245543637464412,False
model.layers.9.mlp.down_proj,"[1, 64, 896]",27,0.001953125,0.0,0.0003786139651053464,False
model.layers.10.self_attn.q_proj,"[1, 64, 896]",11,0.015625,0.0,0.00022493521084498912,False
model.layers.10.self_attn.k_proj,"[1, 64, 128]",0,0.0,0.0,0.0,True
model.layers.10.self_attn.v_proj,"[1, 64, 128]",2,0.0009765625,0.0,0.00014909506234122544,False
model.layers.10.self_attn.o_proj,"[1, 64, 896]",8,0.001953125,0.0,0.0006067752592696765,False
model.layers.10.mlp.gate_proj,"[1, 64, 4864]",38,0.0078125,0.0,0.00015878981466190247,False
model.layers.10.mlp.up_proj,"[1, 64, 4864]",64,0.001953125,1.3969838619232178e-08,7.725818099173149e-05,False
model.layers.10.mlp.down_proj,"[1, 64, 896]",18,0.0009765625,0.0,0.00026366694590250733,False
model.layers.11.self_attn.q_proj,"[1, 64, 896]",10,0.001953125,0.0,2.7078212184619193e-05,False
model.layers.11.self_attn.k_proj,"[1, 64, 128]",5,0.0009765625,0.0,4.064651176936592e-05,False
model.layers.11.self_attn.v_proj,"[1, 64, 128]",1,4.76837158203125e-07,0.0,5.80208210134682e-08,False
model.layers.11.self_attn.o_proj,"[1, 64, 896]",13,0.000244140625,0.0,0.00013097449325196977,False
model.layers.11.mlp.gate_proj,"[1, 64, 4864]",46,0.00390625,0.0,8.601043005990175e-05,False
model.layers.11.mlp.up_proj,"[1, 64, 4864]",45,0.001953125,6.612390279769897e-08,6.997913338606951e-05,False
model.layers.11.mlp.down_proj,"[1, 64, 896]",21,0.00048828125,7.811468094587326e-08,0.00011262256383461162,False
model.layers.12.self_attn.q_proj,"[1, 64, 896]",13,0.00390625,0.0,6.378759149021784e-05,False
model.layers.12.self_attn.k_proj,"[1, 64, 128]",1,0.0078125,0.0,0.00033696957942777665,False
model.layers.12.self_attn.v_proj,"[1, 64, 128]",1,0.0001220703125,0.0,1.632694106432644e-05,False
model.layers.12.self_attn.o_proj,"[1, 64, 896]",16,0.001953125,0.0,0.0005116411494137415,False
model.layers.12.mlp.gate_proj,"[1, 64, 4864]",42,0.0078125,7.450580596923828e-09,0.00015026055255116722,False
model.layers.12.mlp.up_proj,"[1, 64, 4864]",56,0.00390625,2.421438694000244e-08,0.00012651896394001667,False
model.layers.12.mlp.down_proj,"[1, 64, 896]",32,0.0009765625,2.2118911147117615e-08,0.0002241127204874455,False
model.layers.13.self_attn.q_proj,"[1, 64, 896]",5,0.00390625,0.0,6.221927654522293e-05,False
model.layers.13.self_attn.k_proj,"[1, 64, 128]",0,0.0,0.0,0.0,True
model.layers.13.self_attn.v_proj,"[1, 64, 128]",1,1.7881393432617188e-07,0.0,2.84996355738153e-08,False
model.layers.13.self_attn.o_proj,"[1, 64, 896]",12,0.0001220703125,0.0,5.571097206525803e-05,False
model.layers.13.mlp.gate_proj,"[1, 64, 4864]",45,0.015625,0.0,0.0003133067269338445,False
model.layers.13.mlp.up_proj,"[1, 64, 4864]",52,0.001953125,0.0,6.297389461361104e-05,False
model.layers.13.mlp.down_proj,"[1, 64, 896]",34,0.00048828125,2.0256265997886658e-08,0.00012891297628398946,False
model.layers.14.self_attn.q_proj,"[1, 64, 896]",5,0.001953125,0.0,3.498267606655206e-05,False
model.layers.14.self_attn.k_proj,"[1, 64, 128]",3,7.62939453125e-06,0.0,2.295892738914413e-06,False
model.layers.14.self_attn.v_proj,"[1, 64, 128]",3,0.001953125,0.0,0.00029166131947572064,False
model.layers.14.self_attn.o_proj,"[1, 64, 896]",9,0.000244140625,0.0,7.313681865346036e-05,False
model.layers.14.mlp.gate_proj,"[1, 64, 4864]",47,0.0078125,0.0,0.0001429793913407392,False
model.layers.14.mlp.up_proj,"[1, 64, 4864]",61,0.0078125,4.6566128730773926e-09,0.00023745103121994686,False
model.layers.14.mlp.down_proj,"[1, 64, 896]",34,0.0009765625,0.0,0.00018205949402469527,False
model.layers.15.self_attn.q_proj,"[1, 64, 896]",6,0.0001220703125,0.0,1.7753024396231406e-06,False
model.layers.15.self_attn.k_proj,"[1, 64, 128]",1,3.0517578125e-05,0.0,1.4975112858135707e-05,False
model.layers.15.self_attn.v_proj,"[1, 64, 128]",2,1.52587890625e-05,0.0,2.064453613040199e-06,False
model.layers.15.self_attn.o_proj,"[1, 64, 896]",18,0.0009765625,2.0954757928848267e-09,0.00023426906238740587,False
model.layers.15.mlp.gate_proj,"[1, 64, 4864]",25,0.0078125,0.0,0.00012023935662123458,False
model.layers.15.mlp.up_proj,"[1, 64, 4864]",69,0.015625,0.0,0.00042119200494089516,False
model.layers.15.mlp.down_proj,"[1, 64, 896]",25,0.00048828125,0.0,8.679861405121008e-05,False
model.layers.16.self_attn.q_proj,"[1, 64, 896]",11,0.0009765625,2.8172507882118225e-08,1.6928390260217278e-05,False
model.layers.16.self_attn.k_proj,"[1, 64, 128]",3,0.001953125,3.501772880554199e-07,6.689849555131335e-05,False
model.layers.16.self_attn.v_proj,"[1, 64, 128]",3,2.384185791015625e-07,0.0,1.8681389904711843e-08,False
model.layers.16.self_attn.o_proj,"[1, 64, 896]",8,0.0001220703125,0.0,2.904360969665963e-05,False
model.layers.16.mlp.gate_proj,"[1, 64, 4864]",29,0.00390625,1.8207356333732605e-07,6.597024910062407e-05,False
model.layers.16.mlp.up_proj,"[1, 64, 4864]",58,0.00390625,0.0,9.632050988365312e-05,False
model.layers.16.mlp.down_proj,"[1, 64, 896]",25,0.001953125,0.0,0.0002395578170400565,False
model.layers.17.self_attn.q_proj,"[1, 64, 896]",12,0.00390625,0.0,6.321208541401262e-05,False
model.layers.17.self_attn.k_proj,"[1, 64, 128]",4,0.00390625,0.0,0.00019181554258548372,False
model.layers.17.self_attn.v_proj,"[1, 64, 128]",1,1.9073486328125e-06,0.0,5.666793463833175e-07,False
model.layers.17.self_attn.o_proj,"[1, 64, 896]",8,0.0009765625,0.0,0.00010706382506681241,False
model.layers.17.mlp.gate_proj,"[1, 64, 4864]",33,0.015625,4.284083843231201e-08,0.00015190391893909542,False
model.layers.17.mlp.up_proj,"[1, 64, 4864]",56,0.0078125,3.91155481338501e-08,0.00017279608336027622,False
model.layers.17.mlp.down_proj,"[1, 64, 896]",26,0.001953125,0.0,0.0002227242151360085,False
model.layers.18.self_attn.q_proj,"[1, 64, 896]",12,0.0078125,2.60770320892334e-08,0.0001052679814069632,False
model.layers.18.self_attn.k_proj,"[1, 64, 128]",2,1.52587890625e-05,0.0,8.110061583816265e-06,False
model.layers.18.self_attn.v_proj,"[1, 64, 128]",1,7.62939453125e-06,0.0,1.0696148116312328e-06,False
model.layers.18.self_attn.o_proj,"[1, 64, 896]",3,0.00048828125,0.0,0.00017817564642548807,False
model.layers.18.mlp.gate_proj,"[1, 64, 4864]",32,0.015625,0.0,0.00020693011728196094,False
model.layers.18.mlp.up_proj,"[1, 64, 4864]",65,0.00390625,0.0,0.00010102585329975897,False
model.layers.18.mlp.down_proj,"[1, 64, 896]",34,0.00390625,0.0,0.0005916168042959164,False
model.layers.19.self_attn.q_proj,"[1, 64, 896]",4,0.001953125,0.0,2.665120147793623e-05,False
model.layers.19.self_attn.k_proj,"[1, 64, 128]",4,0.0001220703125,0.0,8.835661103604966e-05,False
model.layers.19.self_attn.v_proj,"[1, 64, 128]",1,1.1920928955078125e-07,0.0,1.5875920458529908e-08,False
model.layers.19.self_attn.o_proj,"[1, 64, 896]",14,0.0009765625,0.0,0.0001882748830998162,False
model.layers.19.mlp.gate_proj,"[1, 64, 4864]",32,0.0078125,0.0,9.156227322041685e-05,False
model.layers.19.mlp.up_proj,"[1, 64, 4864]",54,0.0078125,1.8579885363578796e-07,0.00017682512978540055,False
model.layers.19.mlp.down_proj,"[1, 64, 896]",32,0.001953125,1.6624107956886292e-07,0.00021325555166418615,False
model.layers.20.self_attn.q_proj,"[1, 64, 896]",9,0.0009765625,0.0,2.01223607318522e-05,False
model.layers.20.self_attn.k_proj,"[1, 64, 128]",5,0.001953125,0.0,9.691932444251677e-05,False
model.layers.20.self_attn.v_proj,"[1, 64, 128]",1,3.0517578125e-05,0.0,1.3922346067703711e-06,False
model.layers.20.self_attn.o_proj,"[1, 64, 896]",6,0.001953125,0.0,0.00033690829530975773,False
model.layers.20.mlp.gate_proj,"[1, 64, 4864]",37,0.015625,0.0,0.00017079792412553772,False
model.layers.20.mlp.up_proj,"[1, 64, 4864]",45,0.0078125,5.960464477539063e-08,0.00011267152551551852,False
model.layers.20.mlp.down_proj,"[1, 64, 896]",30,0.00390625,2.514570951461792e-08,0.00029388171795414857,False
model.layers.21.self_attn.q_proj,"[1, 64, 896]",12,0.00390625,0.0,6.727247694329898e-05,False
model.layers.21.self_attn.k_proj,"[1, 64, 128]",2,7.62939453125e-06,0.0,1.4088949176976083e-06,False
model.layers.21.self_attn.v_proj,"[1, 64, 128]",0,0.0,0.0,0.0,True
model.layers.21.self_attn.o_proj,"[1, 64, 896]",11,0.0009765625,0.0,0.00010685170065256943,False
model.layers.21.mlp.gate_proj,"[1, 64, 4864]",34,0.015625,0.0,0.00019284066901227164,False
model.layers.21.mlp.up_proj,"[1, 64, 4864]",47,0.0078125,0.0,0.0001418658750716853,False
model.layers.21.mlp.down_proj,"[1, 64, 896]",36,0.00390625,0.0,0.00028785249434998126,False
model.layers.22.self_attn.q_proj,"[1, 64, 896]",7,0.001953125,0.0,4.675819150029491e-05,False
model.layers.22.self_attn.k_proj,"[1, 64, 128]",2,1.52587890625e-05,0.0,6.864656852479165e-07,False
model.layers.22.self_attn.v_proj,"[1, 64, 128]",4,0.0078125,0.0,0.0005142994492037141,False
model.layers.22.self_attn.o_proj,"[1, 64, 896]",12,0.001953125,0.0,0.00022708653846275639,False
model.layers.22.mlp.gate_proj,"[1, 64, 4864]",34,0.0078125,0.0,0.0001056527412226549,False
model.layers.22.mlp.up_proj,"[1, 64, 4864]",49,0.015625,1.387670636177063e-07,0.00023313093203872778,False
model.layers.22.mlp.down_proj,"[1, 64, 896]",29,0.0078125,1.862645149230957e-09,0.000350441818124383,False
model.layers.23.self_attn.q_proj,"[1, 64, 896]",10,0.001953125,0.0,3.303566493823639e-05,False
model.layers.23.self_attn.k_proj,"[1, 64, 128]",4,0.00390625,0.0,0.0001428826988056772,False
model.layers.23.self_attn.v_proj,"[1, 64, 128]",3,3.0517578125e-05,1.1473894119262695e-06,1.4151354376007932e-06,False
model.layers.23.self_attn.o_proj,"[1, 64, 896]",6,0.00048828125,0.0,3.074772890577708e-05,False
model.layers.23.mlp.gate_proj,"[1, 64, 4864]",32,0.00390625,0.0,4.0804620032695025e-05,False
model.layers.23.mlp.up_proj,"[1, 64, 4864]",55,0.03125,0.0,0.0003617512465823225,False
model.layers.23.mlp.down_proj,"[1, 64, 896]",27,0.0078125,0.0,0.00016072709421133832,False
lm_head,"[1, 1, 151936]",40,0.015625,0.0,2.942088200755436e-05,False
