stage,passed,max_abs,max_scaled,relative_rms
cache_value_12_storage,True,,,
cache_value_12,True,0.001953125,0.027444254606962204,0.002878165106643488
cache_value_13_storage,True,,,
cache_value_13,True,0.001953125,0.014466546475887299,0.001987321491117488
cache_value_14_storage,True,,,
cache_value_14,True,0.001953125,0.019070321694016457,0.002619250748867481
cache_value_15_storage,True,,,
cache_value_15,True,0.0078125,0.07692307978868484,0.004405634504383672
cache_value_16_storage,True,,,
cache_value_16,True,0.0009765625,0.01513718068599701,0.011022004641660373
cache_value_17_storage,True,,,
cache_value_17,True,0.001953125,0.025889968499541283,0.0013811611076662341
cache_value_18_storage,True,,,
cache_value_18,True,0.00390625,0.04797601327300072,0.007191529886571464
cache_value_19_storage,True,,,
cache_value_19,True,0.001953125,0.027515048161149025,0.003436832417481245
cache_value_2_storage,True,,,
cache_value_2,True,0.001953125,0.028815848752856255,0.0011568972525682125
cache_value_20_storage,True,,,
cache_value_20,True,0.001953125,0.020240353420376778,0.0013979566766089387
cache_value_21_storage,True,,,
cache_value_21,True,0.0029296875,0.018486423417925835,0.0018513391640254625
cache_value_22_storage,True,,,
cache_value_22,True,0.0625,0.39815667271614075,0.014376793495404204
cache_value_23_storage,True,,,
cache_value_23,True,0.134765625,0.8162661790847778,0.019279774647310056
cache_value_3_storage,True,,,
cache_value_3,True,0.001953125,0.027049873024225235,0.005178359176899696
cache_value_4_storage,True,,,
cache_value_4,True,0.00390625,0.054700855165719986,0.0056911434358270134
cache_value_5_storage,True,,,
cache_value_5,True,0.00390625,0.04938271641731262,0.005420101128105672
cache_value_6_storage,True,,,
cache_value_6,True,0.001953125,0.027610009536147118,0.003741848098198839
cache_value_7_storage,True,,,
cache_value_7,True,0.001953125,0.026600167155265808,0.0031058079476556717
cache_value_8_storage,True,,,
cache_value_8,True,0.00390625,0.046852122992277145,0.007469266857461468
cache_value_9_storage,True,,,
cache_value_9,True,0.0078125,0.05414551496505737,0.005754070642279108
final_norm,True,1.8125,0.6121371984481812,0.028365700775553112
hidden_0,True,0.0,0.0,0.0
hidden_1,True,0.00048828125,0.0076281288638710976,6.702384326181683e-05
hidden_10,True,0.5,0.6545454263687134,0.0007293940237832674
hidden_11,True,0.5,0.6808510422706604,0.0007128981704171871
hidden_12,True,0.5,0.7291139364242554,0.0007190347266439245
hidden_13,True,0.5,0.7128713130950928,0.0007194796790382386
hidden_14,True,0.5,0.7254408001899719,0.0007205623855796826
hidden_15,True,0.5,0.5603112578392029,0.0007217497928212841
hidden_16,True,0.5,0.5559845566749573,0.0007248883444738163
hidden_17,True,0.5,0.5731343030929565,0.0007264230050818992
hidden_18,True,0.5,0.5680473446846008,0.0007278904066310752
hidden_19,True,0.5,0.6210418939590454,0.0007310799007370076
hidden_2,True,0.00390625,0.05498281866312027,0.0016711425291902947
hidden_20,True,0.5,0.5970149040222168,0.0007425169390529682
hidden_21,True,0.5,0.41290321946144104,0.0008019945404393711
hidden_22,False,0.5,4.0,0.022701366961774345
hidden_23,False,0.5078125,2.6700899600982666,0.030366231528402322
hidden_24,True,0.5625,0.996662974357605,0.030544416996219674
hidden_3,True,4.0,0.28070175647735596,0.005591918732011276
hidden_4,True,0.5,0.4923076927661896,0.0007352027944456803
hidden_5,True,0.5,0.47429364919662476,0.0007376711187764998
hidden_6,True,0.5,0.4961240291595459,0.0007278823746086554
hidden_7,True,0.5,0.5127238631248474,0.0007291717394063901
hidden_8,True,0.5,0.5702970027923584,0.0007291231351914554
hidden_9,True,0.5,0.6063157916069031,0.0007289101925075195
logits,True,0.48046875,0.9494163393974304,0.030433445566069407
